Arrondissement,Point Order,PolygonID,Latitude,Longitude
Mont-Royal,240,66023,-73.65452806,45.51999246
Mont-Royal,241,66023,-73.65454308,45.51997015
Mont-Royal,242,66023,-73.65474657,45.51961384
Mont-Royal,243,66023,-73.65483684,45.51952129
Mont-Royal,244,66023,-73.65485706,45.51949161
Mont-Royal,245,66023,-73.65500789,45.51927041
Mont-Royal,246,66023,-73.65502682,45.51924214
Mont-Royal,247,66023,-73.65542809,45.51865401
Mont-Royal,248,66023,-73.6577634,45.51521241
Mont-Royal,249,66023,-73.6577812,45.51518374
Mont-Royal,250,66023,-73.65799065,45.51484764
Mont-Royal,251,66023,-73.65833949,45.51430115
Mont-Royal,252,66023,-73.65914065,45.51299582
Mont-Royal,253,66023,-73.65944582,45.51249099
Mont-Royal,254,66023,-73.65983914,45.51185683
Mont-Royal,255,66023,-73.65988665,45.51177123
Mont-Royal,256,66023,-73.65999607,45.51160714
Mont-Royal,257,66023,-73.66119462,45.50971259
Mont-Royal,258,66023,-73.66190782,45.50858519
Mont-Royal,259,66023,-73.66243821,45.50776012
Mont-Royal,260,66023,-73.66253488,45.5076731
Mont-Royal,261,66023,-73.66258139,45.50760545
Mont-Royal,262,66023,-73.66442588,45.50477378
Mont-Royal,263,66023,-73.66464391,45.50442674
Mont-Royal,264,66023,-73.66790926,45.50174359
Mont-Royal,265,66023,-73.67344064,45.49742412
Mont-Royal,266,66023,-73.67377475,45.49716261
Mont-Royal,267,66023,-73.67531916,45.49595178
Mont-Royal,268,66023,-73.67613695,45.49532023
Mont-Royal,269,66023,-73.67854365,45.49340435
Mont-Royal,270,66023,-73.67849022,45.49337064
Mont-Royal,271,66023,-73.68035026,45.491882
Mont-Royal,272,66023,-73.6808958,45.49146909
Mont-Royal,273,66023,-73.6811894,45.49126122
Mont-Royal,274,66023,-73.68121219,45.49124586
Mont-Royal,275,66023,-73.68132671,45.49117073
Mont-Royal,276,66023,-73.68144404,45.49109778
Mont-Royal,277,66023,-73.68156409,45.49102704
Mont-Royal,278,66023,-73.68176642,45.4909161
Mont-Royal,279,66023,-73.68197545,45.49081148
Mont-Royal,280,66023,-73.68219077,45.49071337
Mont-Royal,281,66023,-73.68274158,45.49048959
Mont-Royal,282,66023,-73.68284312,45.49043988
Mont-Royal,283,66023,-73.68368154,45.49013419
Mont-Royal,284,66023,-73.68376775,45.49010545
Mont-Royal,285,66023,-73.68385423,45.49007713
Mont-Royal,286,66023,-73.68394099,45.49004923
Mont-Royal,287,66023,-73.68415073,45.48998384
Mont-Royal,288,66023,-73.68436198,45.48992088
Mont-Royal,289,66023,-73.68457467,45.48986038
Mont-Royal,290,66023,-73.68474292,45.48981455
Mont-Royal,291,66023,-73.684912,45.48977026
Mont-Royal,292,66023,-73.68508189,45.48972751
Mont-Royal,293,66023,-73.6856204,45.48955296
Mont-Royal,294,66023,-73.68583545,45.48945582
Mont-Royal,295,66023,-73.67721205,45.48368851
Mont-Royal,296,66023,-73.67627899,45.4873851
Mont-Royal,297,66023,-73.67604802,45.48806509
Mont-Royal,298,66023,-73.67516801,45.49128307
Mont-Royal,299,66023,-73.668597,45.48739708
Mont-Royal,300,66023,-73.66787308,45.48695312
Mont-Royal,301,66023,-73.66720505,45.48681604
Mont-Royal,302,66023,-73.66630199,45.48663107
Mont-Royal,303,66023,-73.66609598,45.48661805
Mont-Royal,304,66023,-73.66590502,45.48673712
Mont-Royal,305,66023,-73.66563401,45.48690607
Mont-Royal,306,66023,-73.66542997,45.48706611
Mont-Royal,307,66023,-73.66534901,45.48701808
Mont-Royal,308,66023,-73.66486103,45.48740207
Mont-Royal,309,66023,-73.66440295,45.48776306
Mont-Royal,310,66023,-73.66407798,45.48803009
Mont-Royal,311,66023,-73.66348295,45.48850809
Mont-Royal,312,66023,-73.66333903,45.48862312
Mont-Royal,313,66023,-73.66149595,45.49010109
Mont-Royal,314,66023,-73.65622688,45.49432613
Mont-Royal,315,66023,-73.66336887,45.49900112
Mont-Royal,316,66023,-73.6637508,45.4992441
Mont-Royal,317,66023,-73.66336988,45.49924014
Mont-Royal,318,66023,-73.66174674,45.49921816
Mont-Royal,319,66023,-73.66194076,45.50022815
Mont-Royal,320,66023,-73.66227578,45.50180415
Mont-Royal,321,66023,-73.6623478,45.50214709
Mont-Royal,322,66023,-73.6623618,45.50220611
Mont-Royal,323,66023,-73.66121182,45.50234713
Mont-Royal,324,66023,-73.66053675,45.50243006
Mont-Royal,325,66023,-73.66008183,45.50332107
Mont-Royal,326,66023,-73.65999882,45.50470706
Mont-Royal,327,66023,-73.65664481,45.50375802
Mont-Royal,328,66023,-73.65161178,45.50431091
Mont-Royal,329,66023,-73.64641783,45.50191696
Mont-Royal,330,66023,-73.64622076,45.50182596
Mont-Royal,331,66023,-73.64604681,45.50173899
Mont-Royal,332,66023,-73.64579184,45.501627
Mont-Royal,333,66023,-73.6456048,45.50182496
Mont-Royal,334,66023,-73.64514385,45.50230098
Mont-Royal,335,66023,-73.64474185,45.50272194
Mont-Royal,336,66023,-73.64479782,45.50273401
Mont-Royal,337,66023,-73.64471783,45.50282294
Mont-Royal,338,66023,-73.64225192,45.50549698
Mont-Royal,339,66023,-73.64231094,45.50621299
Mont-Royal,340,66023,-73.64155098,45.50698205
Mont-Royal,341,66023,-73.64174489,45.50707009
Mont-Royal,342,66023,-73.64187593,45.50713004
Mont-Royal,343,66023,-73.64188497,45.50719906
Mont-Royal,344,66023,-73.64166592,45.50760908
Mont-Royal,345,66023,-73.64112894,45.50823709
Mont-Royal,346,66023,-73.64041596,45.50907212
Mont-Royal,347,66023,-73.63880993,45.51094811
Mont-Royal,348,66023,-73.63858099,45.51121512
Mont-Royal,349,66023,-73.63659096,45.51465604
Mont-Royal,350,66023,-73.63571894,45.51439205
Mont-Royal,351,66023,-73.63465199,45.51565904
Mont-Royal,352,66023,-73.63103598,45.51466795
Mont-Royal,353,66023,-73.62971791,45.51430594
Mont-Royal,354,66023,-73.62890395,45.51408194
Mont-Royal,355,66023,-73.62784689,45.51521291
Mont-Royal,356,66023,-73.62706586,45.51615592
Mont-Royal,357,66023,-73.62699184,45.51624491
Mont-Royal,358,66023,-73.62672189,45.5165789
Mont-Royal,359,66023,-73.62447683,45.51955104
Mont-Royal,360,66023,-73.62290647,45.52125447
Mont-Royal,361,66023,-73.6208361,45.52359259
Mont-Royal,362,66023,-73.6207872,45.52363777
Mont-Royal,363,66023,-73.62077559,45.52365088
Mont-Royal,364,66023,-73.62166726,45.52389807
Mont-Royal,365,66023,-73.62214556,45.52402327
Mont-Royal,366,66023,-73.62276723,45.52335165
Mont-Royal,367,66023,-73.62946066,45.5252885
Mont-Royal,368,66023,-73.63751136,45.52761738
Mont-Royal,369,66023,-73.64148133,45.52876553
Mont-Royal,370,66023,-73.64819007,45.5307189
Mont-Royal,371,66023,-73.64890759,45.52946355
Mont-Royal,372,66023,-73.64999254,45.52760407
Mont-Royal,373,66023,-73.6503609,45.52697524
Mont-Royal,374,66023,-73.65075086,45.52630736
Ville-Marie,375,66023,-73.53012911,45.53475803
Ville-Marie,376,66023,-73.53543489,45.53299808
Ville-Marie,377,66023,-73.54063109,45.53127387
Ville-Marie,378,66023,-73.54327794,45.53176976
Ville-Marie,379,66023,-73.54398776,45.53367877
Ville-Marie,380,66023,-73.54591966,45.53589573
Ville-Marie,381,66023,-73.54736058,45.53766572
Ville-Marie,382,66023,-73.54751163,45.53781568
Ville-Marie,383,66023,-73.54791661,45.53814371
Ville-Marie,384,66023,-73.5482536,45.53835568
Ville-Marie,385,66023,-73.5485186,45.53850171
Ville-Marie,386,66023,-73.54879859,45.53862866
Ville-Marie,387,66023,-73.54946858,45.5388457
Ville-Marie,388,66023,-73.55040553,45.5390017
Ville-Marie,389,66023,-73.55111756,45.53907868
Ville-Marie,390,66023,-73.55650557,45.5396017
Ville-Marie,391,66023,-73.55923069,45.53989862
Ville-Marie,392,66023,-73.56017467,45.5381567
Ville-Marie,393,66023,-73.56138367,45.53583374
Ville-Marie,394,66023,-73.56299259,45.53091977
Ville-Marie,395,66023,-73.56458563,45.52581776
Ville-Marie,396,66023,-73.56510773,45.52417378
Ville-Marie,397,66023,-73.56537773,45.52316187
Ville-Marie,398,66023,-73.5654787,45.52272086
Ville-Marie,399,66023,-73.56553873,45.52174984
Ville-Marie,400,66023,-73.56555983,45.5213689
Ville-Marie,401,66023,-73.56556482,45.52111189
Ville-Marie,402,66023,-73.56773392,45.51629706
Ville-Marie,403,66023,-73.569432,45.51248906
Ville-Marie,404,66023,-73.57017799,45.51074503
Ville-Marie,405,66023,-73.57081698,45.50923611
Ville-Marie,406,66023,-73.57130097,45.50830512
Ville-Marie,407,66023,-73.57194599,45.50721215
Ville-Marie,408,66023,-73.57267095,45.5059972
Ville-Marie,409,66023,-73.57303394,45.5054312
Ville-Marie,410,66023,-73.57344392,45.50495427
Ville-Marie,411,66023,-73.57610401,45.50621824
Ville-Marie,412,66023,-73.58013231,45.50819516
Ville-Marie,413,66023,-73.5795422,45.50930312
Ville-Marie,414,66023,-73.57898826,45.50987713
Ville-Marie,415,66023,-73.57850026,45.5102881
Ville-Marie,416,66023,-73.57814917,45.51084612
Ville-Marie,417,66023,-73.57857223,45.51134115
Ville-Marie,418,66023,-73.57920418,45.51181417
Ville-Marie,419,66023,-73.57961022,45.51215019
Ville-Marie,420,66023,-73.58018821,45.51245819
Ville-Marie,421,66023,-73.58243111,45.5136011
